Gene_Symbol	log2FC	p-value
FGG	5.81	1.00E-07
S100A9	5.22	7.40E-09
S100A8	4.95	1.20E-09
SDSL	4.92	1.50E-09
SERPINA3	4.8	2.30E-07
IL6	4.52	2.70E-06
CCL17	4.2	4.90E-10
SAA2	4.12	2.00E-09
CHI3L1	3.65	4.80E-06
TNFAIP6	3.57	4.90E-06
GIMAP4	3.54	9.40E-08
PHEX	3.5	2.00E-07
SELL	3.43	1.30E-04
CASP1	3.36	7.00E-10
FCGR1A	3.34	9.70E-07
CCL20	3.26	4.00E-07
FOS	3.26	1.20E-08
CCL19	3.18	1.20E-11
IL13RA2	3.17	3.80E-13
HP	3.14	1.30E-05
SAA1	3.12	2.00E-09
STEAP4	3.1	4.20E-08
IL18RAP	3.09	1.20E-05
TIFAB	3.06	1.20E-11
CCL2	3.05	3.90E-07
BATF3	3.03	1.60E-09
BIRC3	3.02	2.30E-07
APOBEC3A	2.98	1.20E-02
OSCAR	2.9	3.80E-08
HHEX	2.89	2.40E-03
MMP12	2.8	5.10E-07
NNMT	2.78	4.40E-08
CCL4	2.77	9.70E-07
FCGR3A	2.75	8.20E-07
FCGR3B	2.75	8.20E-07
CCL23	2.63	5.30E-06
CCL15	2.63	5.30E-06
FFAR2	2.6	2.30E-05
C8orf74	2.6	7.90E-12
SAMSN1	2.59	1.10E-06
MYBPH	2.58	2.70E-03
TNFSF9	2.56	3.60E-08
TIMP1	2.53	2.30E-06
FGF6	2.51	2.10E-03
MRC1	2.47	7.90E-12
IL13	2.46	2.50E-07
CXCL8	2.45	2.80E-02
NCF4	2.45	2.40E-06
ZNF740	2.45	1.80E-02
C5AR1	2.43	8.60E-05
TFPI2	2.43	2.30E-06
LBP	2.43	2.40E-05
SELPLG	2.42	1.30E-03
GBP6	2.41	1.10E-08
SELP	2.4	6.90E-05
EGR4	2.4	2.30E-02
IFNAR2	2.39	7.10E-07
GPR171	2.38	7.40E-09
IL33	2.37	1.50E-08
PLSCR1	2.35	1.80E-08
TESPA1	2.33	4.50E-07
RGS4	2.32	3.90E-02
TRAT1	2.31	3.20E-04
SERPINB4	2.3	5.70E-09
CTLA4	2.3	2.20E-08
RTEL1	2.28	8.70E-08
ISG20	2.26	5.80E-05
A2ML1	2.26	1.40E-06
FAM210B	2.24	1.50E-02
CCL13	2.23	1.30E-09
UPP1	2.23	1.40E-07
GATM	2.23	1.80E-08
GBP5	2.22	1.30E-05
CD300C	2.21	5.50E-07
MMP1	2.2	2.30E-02
IL18BP	2.2	6.90E-06
BCAT1	2.19	2.00E-06
MCEMP1	2.17	1.10E-04
IL20	2.16	1.40E-02
CLEC9A	2.16	8.60E-06
CST7	2.15	5.10E-06
KCNE4	2.15	2.00E-05
LTB	2.14	1.50E-08
GPR65	2.14	5.20E-08
SLAMF1	2.14	3.30E-06
ICOS	2.12	2.00E-08
CDA	2.12	3.30E-05
LY86	2.11	2.70E-05
SYNDIG1	2.11	7.10E-06
RGS1	2.1	2.10E-09
ADAM8	2.07	4.70E-04
PRSS36	2.07	7.80E-03
SRGN	2.01	3.80E-06
HLA-DQB1	2.01	1.70E-08
MSR1	2.01	1.20E-03
C3	2.01	2.20E-06
CSF2	2.01	1.20E-05
MLN	2	5.60E-04
ATP2B2	-2.01	1.40E-05
CA3	-2.07	5.40E-07
GAL3ST1	-2.35	1.40E-06
		
