Gene_Symbol	log2FC	p-value
LOC100856765	6.8	5.00E-05
LOC100688842	6.4	5.00E-05
AADACL4	3.6	5.00E-05
LOC481309	2.9	5.00E-05
HMGCS2	2.5	5.00E-05
CLDN8	2.3	5.00E-05
APOC1	2.2	5.00E-05
AWAT1	2.2	5.00E-05
DNAH11	2.1	5.00E-05
PDZK1	2.1	5.00E-05
LOC100855989	2	0.00015
CYP1A2	2	5.00E-05
LEP	2	5.00E-05
DLA-79	-2	5.00E-05
PSMB9	-2	5.00E-05
IL36G	-2.1	5.00E-05
LOC483068	-2.1	5.00E-05
FABP9	-2.2	5.00E-05
LOC102152183	-2.6	5.00E-05
S100A9	-3.2	5.00E-05
S100A8	-3.2	5.00E-05
S100A12	-3.3	5.00E-05
