Gene_Symbol	log2FC	p-value
FMO2	18.81	1.33E-11
F13A1	17.32	1.61E-14
TFPI2	15.3	7.93E-25
CD36	14.67	1.40E-12
MPEG1	7.77	2.73E-11
FGL1	7.63	4.48E-12
PLEK	7.49	6.64E-12
NFAM1	7.29	1.13E-06
THBS4	6.77	1.12E-10
BPI	6.31	2.37E-10
MT-ND6	6.12	3.28E-12
C7	5.99	1.12E-08
CD163	5.91	2.70E-10
ALDH1A3	5.76	4.17E-14
VSIG4	5.6	3.83E-11
CLDN11	5.45	5.61E-12
TBXAS1	5.38	9.81E-06
XDH	5.25	5.34E-09
IL18	5.07	1.22E-06
RGS18	5.06	2.36E-06
LAPTM5	4.82	6.31E-08
ITGAM	4.66	4.25E-11
CYBB	4.66	1.41E-06
CX3CR1	4.63	1.68E-06
C5AR1	4.61	2.99E-06
P2RY12	4.54	0.00012
ISM1	4.5	5.03E-07
LY86	4.5	2.90E-05
SAMSN1	4.5	7.22E-06
PODNL1	4.43	2.15E-06
CD180	4.34	8.63E-05
CD86	4.34	0.000000158
MSR1	4.28	0.000000881
C3AR1	4.17	1.14E-05
BIN2	4.15	2.27E-06
CASP4	4.14	3.62E-06
MT-ND5	4.12	3.08E-09
CRLF1	4.07	0.000000047
IGFBP5	4.05	1.24E-08
MRC1	4	3.51E-08
IL10RA	3.95	3.51E-06
HK2	3.95	1.71E-06
ITGB2	3.94	0.000000126
EBF2	3.9	2.29E-09
HCLS1	3.9	1.52E-09
ADA2	3.87	8.70E-05
JAML	3.84	4.39E-05
CD68	3.8	6.96E-05
INPP5D	3.8	2.28E-11
IL2RG	3.78	4.03E-04
BCO2	3.69	0.000000713
ANGPTL7	3.69	6.16E-10
C3	3.66	9.60E-08
CCR5	3.63	7.06E-05
EGFR	3.63	2.11E-09
PTPRC	3.63	6.09E-06
CD53	3.62	1.20E-04
TAGAP	3.62	7.99E-05
SPI1	3.61	9.81E-07
VTN	3.56	1.04E-07
NCF4	3.55	2.85E-04
CCR1	3.55	2.09E-04
ALDH3A1	3.52	2.02E-10
IQCD	3.47	5.68E-06
ADM5	3.43	2.82E-05
TBX18	3.41	1.29E-05
CTSS	3.39	4.86E-12
LRRC25	3.38	1.96E-03
MILR1	3.37	5.12E-04
PYCARD	3.37	5.45E-04
CSF1R	3.36	0.000000016
EVI2B	3.33	4.71E-06
ICAM3	3.33	2.40E-04
TLR1	3.32	1.20E-04
CHRDL1	3.3	1.58E-07
ADORA3	3.28	5.92E-03
FCMR	3.26	1.90E-06
FMO3	3.26	4.81E-05
MYO1F	3.24	6.45E-06
FZD2	3.18	5.67E-06
NCKAP1L	3.15	7.18E-06
C1QC	3.14	1.11E-05
GNA15	3.12	5.72E-03
ADGRD1	3.1	6.41E-08
DRAM1	3.09	1.02E-04
F3	3.09	5.32E-06
ARHGDIB	3.08	1.86E-05
DAPP1	3.06	6.34E-04
LTB	3.06	8.67E-03
C1QA	3.06	2.65E-05
IKZF1	3.04	2.26E-05
BTK	3.01	6.58E-04
IRAK4	3.01	9.00E-04
SLC38A5	3	1.05E-04
LVRN	2.98	0.000000222
CRISPLD2	2.95	2.67E-09
CDA	2.94	5.72E-04
LYN	2.93	2.04E-06
C1QB	2.93	3.13E-04
FCGR1A	2.91	3.84E-04
MEOX1	2.9	3.66E-05
THBS2	2.9	9.40E-05
CTSC	2.87	3.11E-07
CTSH	2.86	0.000000119
CD74	2.82	0.000000972
SASH3	2.79	1.24E-03
SELPLG	2.76	1.20E-04
FGFR2	2.75	4.84E-05
CD48	2.75	5.59E-03
VIT	2.67	5.06E-06
PARVG	2.66	6.10E-03
CYTH4	2.66	8.90E-04
APOD	2.65	5.80E-06
MT-CO1	2.61	1.74E-05
SLC2A5	2.59	4.72E-04
SPP2	2.58	9.55E-08
AIF1	2.58	8.70E-05
TRIM34	2.57	2.32E-04
SERPING1	2.48	0.000000489
PLAAT4	2.47	2.40E-03
FOXS1	2.42	9.77E-05
HVCN1	2.41	4.70E-05
NFKBID	2.41	1.46E-03
XG	2.37	1.89E-04
ALOX5AP	2.35	5.13E-04
WFDC1	2.28	2.82E-05
CASP12	2.24	0.02
HAVCR1	2.23	1.89E-03
FREM1	2.23	7.22E-05
POSTN	2.22	6.73E-03
SRPX2	2.17	3.27E-04
BAMBI	2.17	4.44E-03
