GeneSymbol	log2FC	p_value_or_padj	Dataset	Comparison	Direction	In_CTD_marker	In_CTD_therapeutic	In_CTD_inferred	In_GeneCards_AD	Species
A2ML1	2.26	1.40E-06	GSE58442_24	Canine_24h	Up	yes	yes	no	yes	Canine
ABCD2	-2.15	2.90E-05	GSE74136_48	Canine_48h	Down	yes	yes	no	no	Canine
ACTA1	-3.32	0.1	GSE74136_48	Canine_48h	Down	yes	yes	no	no	Canine
ADA2	3.87	8.70E-05	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	yes	Canine
ADAM8	2.07	0.00047	GSE58442_24	Canine_24h	Up	yes	yes	no	yes	Canine
ADGRD1	3.1	6.41E-08	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
ADORA3	3.28	0.00592	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	yes	Canine
AIF1	2.58	8.70E-05	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	yes	Canine
ALDH1A3	5.76	4.17E-14	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
ALDH3A1	3.52	2.02E-10	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
ALOX5AP	2.35	0.000513	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	yes	Canine
ANGPTL7	3.69	6.16E-10	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
ANKRD1	-2.14	0.34	GSE74136_48	Canine_48h	Down	yes	yes	no	no	Canine
ANKRD9	-2.48	1.28E-05	PRJNA1148493	Canine_DGEs	Down	yes	yes	no	no	Canine
APOBEC3A	2.98	0.012	GSE58442_24	Canine_24h	Up	yes	yes	no	no	Canine
APOC1	2.2	5.00E-05	PRJEB38104	Canine_DGEs	Up	yes	yes	no	no	Canine
APOD	2.65	5.80E-06	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
ARHGDIB	3.08	1.86E-05	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
ASB5	-2.54	0.16	GSE74136_48	Canine_48h	Down	yes	yes	no	no	Canine
ATP2B2	-2.01	1.40E-05	GSE58442_24	Canine_24h	Down	yes	yes	no	no	Canine
AWAT1	2.2	5.00E-05	PRJEB38104	Canine_DGEs	Up	yes	yes	no	no	Canine
