GeneSymbol	log2FC	p_value_or_padj	Dataset	Comparison	Direction	In_CTD_marker	In_CTD_therapeutic	In_CTD_inferred	In_GeneCards_AD	Species
ABCA8	-2.63	0.00036	GSE16161	L_N	Down	yes	yes	no	no	Human
ABCB1	2.059338	0.012876	GSE6012_L	L_N	Up	yes	yes	yes	yes	Human
ABCB11	-2.04597	5.74E-24	GSE121212	L_N	Down	yes	yes	no	no	Human
ABCC11	2.625858	0.003762	GSE6012_L	L_N	Up	yes	yes	no	no	Human
ABCC11	2.351544	0.006077	GSE6012_L	L_N	Up	yes	yes	no	no	Human
ABCC11	2.233475	0.007096	GSE6012_L	L_N	Up	yes	yes	no	no	Human
ABCC11	2.487989	0.001871	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	no	Human
ABCC11	2.104423	0.001474	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	no	Human
ABCC11	2.101043	0.002366	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	no	Human
ABCC12	2.002378	0.015906	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	no	Human
ABCD2	2.262955	0.004649	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	no	Human
ABCG4	4.101216	3.98E-25	GSE121212	L_N	Up	yes	yes	no	no	Human
ABCG4	2.67	0.0014	GSE140227	L_N	Up	yes	yes	no	no	Human
ABCG4	2.016825	0.025696	GSE6012_L	L_N	Up	yes	yes	no	no	Human
ABI3BP	2.422999	0.02313	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	no	Human
ACBD7	2.515309	0.007132	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	no	Human
ACKR2	2.521764	4.09E-27	GSE121212	L_N	Up	yes	yes	no	no	Human
ACKR3	-2.05	0.0005	GSE16161	L_N	Down	yes	yes	no	no	Human
ACOT1	-2.39177	1.15E-23	18_L	L_N	Down	yes	yes	no	no	Human
ACOX2	2.448381	0.007132	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	no	Human
ACOXL	2.487812	0.025696	GSE6012_L	L_N	Up	yes	yes	no	yes	Human
ACOXL	2.746006	0.011134	GSE6012_NL	NL_N	Up	yes	yes	no	yes	Human
ACR	2.232322	0.022486	GSE6012_L	L_N	Up	yes	yes	no	no	Human
ACR	2.343222	0.027708	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	no	Human
ACSM3	2.997802	0.002587	GSE6012_NL	NL_N	Up	yes	yes	no	no	Human
ACTC1	4.377535	0.004649	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	no	Human
ACTN2	-2.04	0.0017	GSE140227	L_N	Down	yes	yes	no	no	Human
ACTN2	-2.04	0.0017	GSE140227	L_N	Down	yes	yes	no	no	Human
ACTN2	-2.04	0.0017	GSE140227	L_N	Down	yes	yes	no	no	Human
ACTN2	-2.04	0.0017	GSE140227	L_N	Down	yes	yes	no	no	Human
ADAM19	2.891842	3.38E-41	GSE121212	L_N	Up	yes	yes	no	no	Human
ADAM23	2.0485	3.33E-21	GSE121212	L_N	Up	yes	yes	no	no	Human
ADAM8	2.266792	7.54E-33	GSE121212	L_N	Up	yes	yes	no	yes	Human
ADAMDEC1	2.330493	7.15E-29	18_L	L_N	Up	yes	yes	no	no	Human
ADAMDEC1	3.40852	2.87E-10	GSE121212	L_N	Up	yes	yes	no	no	Human
ADAMTS20	2.786866	0.008266	GSE6012_L	L_N	Up	yes	yes	no	no	Human
ADAMTS4	2.250537	1.60E-32	18_L	L_N	Up	yes	yes	no	yes	Human
ADAMTS4	2.916299	1.03E-27	GSE121212	L_N	Up	yes	yes	no	yes	Human
ADCYAP1	2.094409	0.000695	GSE121212	L_N	Up	yes	yes	no	no	Human
ADGRF1	3.964896	2.21E-17	GSE121212	L_N	Up	yes	yes	no	no	Human
ADH1B	-3.93	9.90E-05	GSE16161	L_N	Down	yes	yes	no	no	Human
ADH6	-2.60495	5.83E-29	GSE121212	L_N	Down	yes	yes	no	no	Human
ADIPOQ	-2.85	0.012	GSE16161	L_N	Down	yes	yes	no	yes	Human
ADIPOQ	2.073888	0.004649	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	yes	Human
ADIPOQ	2.422309	0.002977	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	yes	Human
ADSSL1	2.372448	0.017097	GSE6012_L	L_N	Up	yes	yes	no	no	Human
ADSSL1	2.677368	0.001474	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	no	Human
AFF3	2.052737	0.015906	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	no	Human
AFM	2.916595	0.019223	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	no	Human
AGBL4	-2.53643	1.43E-16	GSE121212	L_N	Down	yes	yes	no	no	Human
AGR2	2.194344	0.037809	GSE6012_L	L_N	Up	yes	yes	no	no	Human
AGR3	-3.52907	3.94E-16	GSE121212	L_N	Down	yes	yes	no	no	Human
AGTR1	-2.86	5.80E-06	GSE16161	L_N	Down	yes	yes	no	no	Human
AIM2	2.480367	1.12E-17	GSE121212	L_N	Up	yes	yes	no	no	Human
AKAP11	2.508044	0.03332	GSE6012_L	L_N	Up	yes	yes	no	no	Human
AKR1B10	4.324688	6.78E-94	18_L	L_N	Up	yes	yes	no	no	Human
AKR1B10	4.155026	1.89E-45	GSE121212	L_N	Up	yes	yes	no	no	Human
AKR1B10	4.43	2.20E-06	GSE16161	L_N	Up	yes	yes	no	no	Human
AKR1B10	3.28	0.0013	GSE32924	L_N	Up	yes	yes	no	no	Human
AKR1B10	2.44	0.00026	GSE75890	L_N	Up	yes	yes	no	no	Human
AKR1B10	2.06	0.021	Acute_GSE36842	L_vs_NL	Up	yes	yes	no	no	Human
AKR1B10	2.52	0.15	GSE59294	L_vs_NL	Up	yes	yes	no	no	Human
AKR1B15	4.102868	2.79E-60	18_L	L_N	Up	yes	yes	no	no	Human
AKR1B15	4.840855	2.73E-41	GSE121212	L_N	Up	yes	yes	no	no	Human
AKR1B15	2.93	0.0011	GSE140227	L_N	Up	yes	yes	no	no	Human
AKR1C3	-2.06	4.70E-05	GSE16161	L_N	Down	yes	yes	no	no	Human
AKR1C3	2.542984	0.027708	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	no	Human
ALDH1A1	-2.08	2.30E-05	GSE16161	L_N	Down	yes	yes	no	no	Human
ALDH3A2	2.223361	0.011134	GSE6012_L	L_N	Up	yes	yes	no	yes	Human
ALOX15	3.737881	7.86E-44	GSE121212	L_N	Up	yes	yes	no	yes	Human
ALPL	2.523742	0.037809	GSE6012_L	L_N	Up	yes	yes	yes	no	Human
ALPL	2.257306	0.015906	GSE6012_L_NL	L_vs_NL	Up	yes	yes	yes	no	Human
ANGPTL4	2.456114	1.36E-24	GSE121212	L_N	Up	yes	yes	no	no	Human
ANGPTL4	2.014385	0.000941	GSE6012_L	L_N	Up	yes	yes	no	no	Human
ANGPTL7	3.464207	0.012876	GSE6012_L	L_N	Up	yes	yes	no	no	Human
ANGPTL7	2.753135	0.002977	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	no	Human
ANKAR	2.313394	0.03332	GSE6012_NL	NL_N	Up	yes	yes	no	no	Human
ANKK1	2.060281	0.025696	GSE6012_L	L_N	Up	yes	yes	no	no	Human
ANKRD2	-2.13068	1.51E-14	GSE121212	L_N	Down	yes	yes	no	no	Human
ANKRD34C	3.578918	1.41E-09	GSE121212	L_N	Up	yes	yes	no	no	Human
ANKRD37	2.702801	0.025696	GSE6012_L	L_N	Up	yes	yes	no	no	Human
ANKS1B	3.681731	0.013104	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	no	Human
AOAH	2.175155	0.000782	GSE6012_L	L_N	Up	yes	yes	no	no	Human
APBB3	2.074519	0.011134	GSE6012_NL	NL_N	Up	yes	yes	no	no	Human
APLP1	2.00559	0.013104	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	no	Human
APOBEC3A	3.812492	6.88E-28	18_L	L_N	Up	yes	yes	no	no	Human
APOBEC3A	4.964041	4.86E-27	GSE121212	L_N	Up	yes	yes	no	no	Human
APOBEC3A	2.02	3.40E-05	GSE58558	L_vs_NL	Up	yes	yes	no	no	Human
APOBEC3A	2.31	0.24	GSE59294	L_vs_NL	Up	yes	yes	no	no	Human
APOBEC3B	2.470787	4.56E-25	GSE121212	L_N	Up	yes	yes	no	no	Human
APOBEC3B	2.13	5.10E-06	GSE16161	L_N	Up	yes	yes	no	no	Human
APOD	-2.21	0.012	GSE16161	L_N	Down	yes	yes	no	no	Human
APOL1	2.223425	3.82E-26	GSE121212	L_N	Up	yes	yes	no	no	Human
AQP2	2.413748	0.000941	GSE6012_L	L_N	Up	yes	yes	no	no	Human
AQP2	2.066473	0.008775	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	no	Human
AQP9	-2.22	1.80E-07	GSE16161	L_N	Down	yes	yes	no	no	Human
ARC	2.910318	1.66E-35	18_L	L_N	Up	yes	yes	no	no	Human
AREG	2.950272	4.22E-37	18_L	L_N	Up	yes	yes	no	yes	Human
AREG	2.77054	2.79E-11	GSE121212	L_N	Up	yes	yes	no	yes	Human
ARG1	-2.1	0.022	GSE16161	L_N	Down	yes	yes	no	yes	Human
ARG1	3.062779	0.013104	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	yes	Human
ARG1	2.494527	0.015906	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	yes	Human
ARHGEF12	2.390058	0.048341	GSE6012_L	L_N	Up	yes	yes	no	no	Human
ARHGEF4	2.30623	0.001919	GSE6012_L	L_N	Up	yes	yes	no	no	Human
ARL14	2.552527	4.63E-15	18_L	L_N	Up	yes	yes	no	no	Human
ARL14	3.383139	2.52E-22	GSE121212	L_N	Up	yes	yes	no	no	Human
ARMC6	2.154087	0.002279	GSE6012_L	L_N	Up	yes	yes	no	no	Human
ARSI	2.435886	0.007132	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	no	Human
ASB5	2.44013	0.042802	GSE6012_L	L_N	Up	yes	yes	no	no	Human
ASB5	2.492925	0.013104	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	no	Human
ASCL1	2.44922	0.042802	GSE6012_L	L_N	Up	yes	yes	no	no	Human
ASPA	2.022156	0.001128	GSE6012_L	L_N	Up	yes	yes	no	no	Human
ASPRV1	-2.24	0.009	GSE32924	L_N	Down	yes	yes	no	yes	Human
ASS1	2.037957	0.002366	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	no	Human
ASTN1	2.050221	0.011134	GSE6012_NL	NL_N	Up	yes	yes	no	no	Human
ASZ1	2.649181	0.008775	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	no	Human
ATF3	2.571103	6.12E-30	18_L	L_N	Up	yes	yes	yes	no	Human
ATG4B	2.38572	0.019631	GSE6012_L	L_N	Up	yes	yes	no	yes	Human
ATP12A	2.67924	1.22E-12	GSE121212	L_N	Up	yes	yes	no	yes	Human
ATP12A	3.11	0.0042	GSE75890	L_N	Up	yes	yes	no	yes	Human
ATP6V0D2	4.007804	0.000246	GSE6012_L	L_N	Up	yes	yes	no	no	Human
ATP6V0D2	2.689392	0.003762	GSE6012_L	L_N	Up	yes	yes	no	no	Human
ATP6V0D2	2.384574	0.000164	GSE6012_L	L_N	Up	yes	yes	no	no	Human
ATP6V0D2	2.910367	0.001474	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	no	Human
ATP6V0D2	2.097692	0.002366	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	no	Human
ATP6V0D2	2.28376	0.025696	GSE6012_NL	NL_N	Up	yes	yes	no	no	Human
ATP6V1B1	2.298083	0.013104	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	yes	Human
ATP6V1B1	2.019364	0.048341	GSE6012_NL	NL_N	Up	yes	yes	no	yes	Human
AVIL	3.856251	0.000537	GSE6012_L	L_N	Up	yes	yes	no	no	Human
AVIL	2.201859	0.033047	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	no	Human
B3GNT6	4.071417	1.60E-11	GSE121212	L_N	Up	yes	yes	no	no	Human
BAMBI	2.69258	0.019631	GSE6012_L	L_N	Up	yes	yes	no	no	Human
BAMBI	2.515297	0.002977	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	no	Human
BATF3	2.604678	8.40E-17	GSE121212	L_N	Up	yes	yes	no	yes	Human
BCAT1	2.191701	0.000443	GSE6012_L	L_N	Up	yes	yes	no	no	Human
BCL2A1	3.57815	0.000201	GSE6012_L	L_N	Up	yes	yes	no	no	Human
BCL2A1	2.713989	0.000246	GSE6012_L	L_N	Up	yes	yes	no	no	Human
BCL2A1	2.529131	0.002977	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	no	Human
BCL2A1	2.3453	0.001474	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	no	Human
BCL2L14	2.911632	0.019223	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	no	Human
BFSP2	2.127958	0.017097	GSE6012_L	L_N	Up	yes	yes	no	no	Human
BFSP2	2.880799	0.007132	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	no	Human
BIRC3	2.227674	1.22E-29	GSE121212	L_N	Up	yes	yes	no	no	Human
BIRC3	3.710957	0.018127	GSE6012_L	L_N	Up	yes	yes	no	no	Human
BIRC3	3.142633	0.001919	GSE6012_L	L_N	Up	yes	yes	no	no	Human
BIRC3	2.536021	0.003729	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	no	Human
BLVRB	2.373572	0.005192	GSE6012_L	L_N	Up	yes	yes	no	no	Human
BMP3	-3.34528	9.58E-20	GSE121212	L_N	Down	yes	yes	no	no	Human
BMP3	-2.02	0.0022	GSE140227	L_N	Down	yes	yes	no	no	Human
BMP8B	2.110951	0.011134	GSE6012_NL	NL_N	Up	yes	yes	no	no	Human
BNC2	2.663541	0.008775	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	no	Human
BPI	2.274847	7.06E-05	GSE6012_L	L_N	Up	yes	yes	no	no	Human
BPI	2.158792	0.000201	GSE6012_L	L_N	Up	yes	yes	no	no	Human
BTC	-2.07024	2.16E-24	18_L	L_N	Down	yes	yes	no	no	Human
BTC	-3.82721	4.07E-71	GSE121212	L_N	Down	yes	yes	no	no	Human
BTC	-2.94	0.0016	GSE140227	L_N	Down	yes	yes	no	no	Human
BTC	-2.78	2.50E-06	GSE16161	L_N	Down	yes	yes	no	no	Human
BTC	-3.04	3.10E-07	GSE32924	L_N	Down	yes	yes	no	no	Human
BTC	-2.5	0.00021	GSE75890	L_N	Down	yes	yes	no	no	Human
C1QL1	2.172599	0.037809	GSE6012_NL	NL_N	Up	yes	yes	no	no	Human
C1QTNF4	2.048527	0.008775	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	no	Human
C3	2.072511	0.011134	GSE6012_L	L_N	Up	yes	yes	yes	no	Human
C5AR1	5.682921	0.000201	GSE6012_L	L_N	Up	yes	yes	no	yes	Human
C5AR1	2.752614	0.000537	GSE6012_L	L_N	Up	yes	yes	no	yes	Human
