Categories	Diseases or Functions Annotation	p-value	Predicted Activation State	Activation z-score	Molecules	# Molecules	Novel Genes
Inflammatory Response	Inflammatory response	1.92E-53	Increased	6.47	"ABCD2,ADA2,ADAM8,ADORA3,AIF1,ALOX5AP,APOBEC3A,BIRC3,BPI,C1QA,C3,C3AR1,C5AR1,CASP1,CASP4,CCL13,CCL15,CCL17,CCL19,CCL2,CCL20,CCL23,CCL4,CCL5,CCR1,CCR5,CD163,CD36,CD48,CD74,CDO1,CHI3L1,CORO1A,CSF1R,CSF2,CSF2RA,CTSS,CX3CR1,CXCL8,CYBB,EGFR,F3,FAM210B,FCGR1A,FCGR3A,FFAR2,FGG,FOS,GLRB,HAVCR1,HP,ICOS,IDO1,IL10RA,IL13,IL18,IL18RAP,IL20,IL33,IL6,IL9,INPP5D,ITGAM,ITGB2,JAML,LBP,LEP,LRRC25,LYN,MCEMP1,MMP1,MSR1,MT-CO1,MT-ND5,MT-ND6,MYO1F,NCKAP1L,NLRP10,PDK4,PSMB9,PTX3,PYCARD,RAC2,RGS1,S100A12,S100A8,S100A9,SAA1,SASH3,SELL,SELP,SELPLG,SERPINA3,SERPING1,SLAMF1,SPI1,TBXAS1,THBS2,THBS4,TLR1,TNFAIP6,VTN,WFDC1"	103	"MT-ND6, MT-ND5, CCL23"
Cellular Movement	Cell movement	2.47E-34	Increased	6.325	"ADAM8,ADORA3,AIF1,ALDH1A3,ALDH3A1,ALOX5AP,APOBEC3A,APOC1,APOD,ARHGDIB,BAMBI,BATF3,BCAT1,BIN2,BTK,C3,C3AR1,C5AR1,CASP1,CCL13,CCL15,CCL17,CCL19,CCL2,CCL20,CCL23,CCL4,CCL5,CCR1,CCR5,CD209,CD36,CD48,CD53,CD74,CD86,CDO1,CHI3L1,CLDN11,CLEC4M,CORO1A,CSF1R,CSF2,CSF2RA,CTLA4,CTSC,CTSH,CTSS,CX3CR1,CXCL8,CYBB,DNAH11,DRAM1,EBF2,EGFR,F13A1,F3,FCER1A,FCGR3B,FERMT3,FFAR2,FGF6,FGFR2,FHL1,FOS,FOXS1,GAL3ST1,GLRB,GPR65,GPX2,HAVCR1,HCLS1,HHEX,HK2,HP,HVCN1,ICOS,ID4,IDO1,IGFBP5,IKZF1,IL10RA,IL13,IL13RA2,IL18,IL18BP,IL20,IL33,IL36G,IL6,IL9,INPP5D,IRAK4,ISM1,ITGAM,ITGB2,JAML,KCNE4,LAPTM5,LBP,LEP,LGR6,LPAR3,LTB,LYN,MMP1,MMP12,MSR1,MYBPH,MYO1F,NCF4,NCKAP1L,NLRP10,NNMT,P2RY12,PARVG,PDK4,PLAC8,POSTN,PTPRC,PTX3,RAC2,RGS1,RGS18,RGS4,S100A12,S100A8,S100A9,S100P,SAA1,SELL,SELP,SELPLG,SEPTIN14,SERPINA3,SERPING1,SLAMF1,SLC2A5,SLC38A5,SPI1,SRGN,SRPX2,STEAP4,TBXAS1,TFPI2,THBS2,THBS4,TIMP1,TNFAIP6,TNFSF9,TRAT1,VSIG4,VSTM5,VTN,XDH"	155	"CLEC4M, CCL23"
Cellular Movement	Migration of cells	1.09E-34	Increased	6.247	"ADAM8,ADORA3,AIF1,ALDH1A3,ALDH3A1,ALOX5AP,APOBEC3A,APOC1,APOD,ARHGDIB,BAMBI,BATF3,BCAT1,BTK,C3,C3AR1,C5AR1,CASP1,CCL13,CCL15,CCL17,CCL19,CCL2,CCL20,CCL23,CCL4,CCL5,CCR1,CCR5,CD209,CD36,CD48,CD53,CD74,CD86,CDO1,CHI3L1,CLDN11,CLEC4M,CORO1A,CSF1R,CSF2,CSF2RA,CTLA4,CTSC,CTSH,CTSS,CX3CR1,CXCL8,CYBB,EBF2,EGFR,F13A1,F3,FCER1A,FCGR3B,FERMT3,FFAR2,FGF6,FGFR2,FHL1,FOS,FOXS1,GAL3ST1,GLRB,GPR65,GPX2,HAVCR1,HCLS1,HHEX,HK2,HP,HVCN1,ICOS,ID4,IDO1,IGFBP5,IKZF1,IL10RA,IL13,IL13RA2,IL18,IL18BP,IL20,IL33,IL36G,IL6,IL9,INPP5D,IRAK4,ISM1,ITGAM,ITGB2,JAML,KCNE4,LAPTM5,LBP,LEP,LGR6,LPAR3,LTB,LYN,MMP1,MMP12,MSR1,MYO1F,NCF4,NCKAP1L,NLRP10,NNMT,P2RY12,PDK4,PLAC8,POSTN,PTPRC,PTX3,RAC2,RGS1,RGS18,RGS4,S100A12,S100A8,S100A9,S100P,SAA1,SELL,SELP,SELPLG,SEPTIN14,SERPINA3,SERPING1,SLAMF1,SLC2A5,SLC38A5,SPI1,SRGN,SRPX2,STEAP4,TFPI2,THBS2,THBS4,TIMP1,TNFAIP6,TNFSF9,TRAT1,VSIG4,VSTM5,VTN,XDH"	149	"CLEC4M, CCL23"
"Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking"	Cell movement of granulocytes	1.26E-46	Increased	6.108	"ADAM8,ALOX5AP,BTK,C3,C3AR1,C5AR1,CCL13,CCL15,CCL17,CCL19,CCL2,CCL20,CCL23,CCL4,CCL5,CCR1,CD36,CD48,CD74,CHI3L1,CORO1A,CSF2,CSF2RA,CTSC,CXCL8,CYBB,EGFR,F3,FERMT3,FFAR2,FOS,GPR65,HAVCR1,ICOS,IL13,IL18,IL20,IL33,IL36G,IL6,IL9,INPP5D,ISM1,ITGAM,ITGB2,JAML,LBP,LEP,LYN,MMP12,MSR1,MYO1F,NCKAP1L,PDK4,POSTN,PTX3,RAC2,S100A12,S100A8,S100A9,SAA1,SELL,SELP,SELPLG,SPI1,THBS4,TIMP1,TNFAIP6,VTN"	69	CCL23
"Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response"	Cell movement of phagocytes	1.97E-50	Increased	6.05	"ADAM8,ADORA3,AIF1,ALOX5AP,BATF3,BTK,C3,C3AR1,C5AR1,CCL15,CCL17,CCL19,CCL2,CCL20,CCL23,CCL4,CCL5,CCR1,CCR5,CD209,CD36,CD74,CD86,CHI3L1,CLEC4M,CORO1A,CSF1R,CSF2,CSF2RA,CTSC,CTSS,CX3CR1,CXCL8,CYBB,EGFR,F3,FERMT3,FFAR2,GAL3ST1,GLRB,GPR65,HAVCR1,HCLS1,HP,IL10RA,IL13,IL18,IL20,IL33,IL36G,IL6,IL9,INPP5D,IRAK4,ITGAM,ITGB2,JAML,LBP,LEP,LTB,LYN,MMP12,MSR1,MYO1F,NCKAP1L,NLRP10,PDK4,POSTN,PTX3,RAC2,S100A12,S100A8,S100A9,SAA1,SELL,SELP,SELPLG,SERPINA3,SERPING1,SLAMF1,SPI1,THBS2,THBS4,TIMP1,TNFAIP6,TNFSF9,VTN"	87	"CLEC4M, CCL23"
Cellular Movement	Cell movement of myeloid cells	1.33E-46	Increased	5.96	"ADAM8,AIF1,ALOX5AP,BAMBI,BTK,C3,C3AR1,C5AR1,CCL13,CCL15,CCL17,CCL19,CCL2,CCL20,CCL23,CCL4,CCL5,CCR1,CD36,CD48,CD74,CHI3L1,CORO1A,CSF1R,CSF2,CSF2RA,CTSC,CTSS,CX3CR1,CXCL8,CYBB,EGFR,F3,FERMT3,FFAR2,FOS,GAL3ST1,GLRB,GPR65,HAVCR1,HP,ICOS,IL13,IL18,IL20,IL33,IL36G,IL6,IL9,INPP5D,ISM1,ITGAM,ITGB2,JAML,LBP,LEP,LTB,LYN,MMP12,MSR1,MYO1F,NCKAP1L,PDK4,POSTN,PTPRC,PTX3,RAC2,S100A12,S100A8,S100A9,SAA1,SELL,SELP,SELPLG,SERPINA3,SERPING1,SLAMF1,SPI1,THBS2,THBS4,TIMP1,TNFAIP6,VTN"	83	CCL23
Cellular Movement	Chemotaxis of blood cells	1.68E-41	Increased	5.935	"ADAM8,ADORA3,AIF1,C3,C3AR1,C5AR1,CCL13,CCL15,CCL17,CCL19,CCL2,CCL20,CCL23,CCL4,CCL5,CCR1,CCR5,CD74,CHI3L1,CORO1A,CSF1R,CSF2,CSF2RA,CX3CR1,CXCL8,CYBB,GLRB,HAVCR1,HP,IL13,IL18,IL20,IL33,IL6,INPP5D,ITGAM,ITGB2,JAML,LBP,LYN,MYO1F,NCKAP1L,PTPRC,RAC2,RGS1,S100A12,S100A8,S100A9,SAA1,SELL,SELP,SELPLG,SERPINA3,SLAMF1,SPI1,THBS2,THBS4,TNFAIP6,VTN"	59	CCL23
"Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response"	Chemotaxis of leukocytes	2.07E-40	Increased	5.935	"ADAM8,ADORA3,AIF1,C3,C3AR1,C5AR1,CCL13,CCL15,CCL17,CCL19,CCL2,CCL20,CCL23,CCL4,CCL5,CCR1,CCR5,CD74,CHI3L1,CORO1A,CSF1R,CSF2,CSF2RA,CX3CR1,CXCL8,CYBB,GLRB,HAVCR1,HP,IL13,IL18,IL20,IL33,IL6,INPP5D,ITGAM,ITGB2,JAML,LBP,LYN,MYO1F,NCKAP1L,RAC2,RGS1,S100A12,S100A8,S100A9,SAA1,SELL,SELP,SELPLG,SERPINA3,SLAMF1,SPI1,THBS2,THBS4,TNFAIP6,VTN"	58	CCL23
Cellular Movement	Chemotaxis of myeloid cells	4.03E-42	Increased	5.878	"AIF1,C3,C3AR1,C5AR1,CCL13,CCL15,CCL17,CCL19,CCL2,CCL20,CCL23,CCL4,CCL5,CCR1,CD74,CHI3L1,CORO1A,CSF1R,CSF2,CSF2RA,CX3CR1,CXCL8,CYBB,GLRB,HAVCR1,HP,IL13,IL18,IL20,IL33,IL6,INPP5D,ITGAM,ITGB2,JAML,LBP,LYN,MYO1F,NCKAP1L,PTPRC,RAC2,S100A12,S100A8,S100A9,SAA1,SELL,SELP,SELPLG,SERPINA3,SLAMF1,SPI1,THBS2,THBS4,TNFAIP6,VTN"	55	CCL23
"Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response"	Chemotaxis of phagocytes	2.52E-41	Increased	5.87	"ADORA3,AIF1,C3,C3AR1,C5AR1,CCL15,CCL17,CCL19,CCL2,CCL20,CCL23,CCL4,CCL5,CCR1,CCR5,CD74,CHI3L1,CORO1A,CSF1R,CSF2,CSF2RA,CX3CR1,CXCL8,CYBB,GLRB,HAVCR1,HP,IL13,IL18,IL20,IL33,IL6,INPP5D,ITGAM,ITGB2,JAML,LBP,LYN,MYO1F,NCKAP1L,RAC2,S100A12,S100A8,S100A9,SAA1,SELL,SELP,SELPLG,SERPINA3,SLAMF1,SPI1,THBS2,THBS4,TNFAIP6,VTN"	55	CCL23
