Symbol	Synonym(s)	Entrez Gene Name	Gene Symbol - human (HUGO / HGNC / Entrez Gene)	Expr Log Ratio	Expr p-value	Location	Family	Drugs	Entrez Gene ID for Human	Entrez Gene ID for Mouse	Entrez Gene ID for Rat
Binding of memory T lymphocytes						Other	function				
C5AR1	"C5AR, C5R1, CD88, complement C5a receptor 1, complement component 5a receptor 1, D7Msu1, LEUKOTRIENE C5 receptor"	complement C5a receptor 1	C5AR1	4.61	2.99E-06	Plasma Membrane	G-protein coupled receptor	"TJ210001, avacopan, IPH5401"	728	12273	113959
CD86	"B7, B70, B7-2, B7.2, Cd28l2, CD28LG2, CD86 ANTIGEN, CD86 molecule, CLS1, ETC-1, Gm8528, LAB72, Ly-58, MB7, MB7-2, TS/A-2"	CD86 molecule	CD86	4.34	1.58E-07	Plasma Membrane	transmembrane receptor	"abatacept, belatacept, abatacept/methotrexate, basiliximab/belatacept/corticosteroid/mycophenolate mofetil, belatacept/corticosteroid/mycophenolic acid"	942	12524	56822
Cellular infiltration by granulocytes						Other	function				
CGAS	"C6orf150, cyclic GMP-AMP synthase, D4, E330016A19Rik, h-cGAS, MB21D1"	cyclic GMP-AMP synthase				Cytoplasm	enzyme		115004	214763	682147
Cytotoxicity of lymphatic system cells						Other	function				
Granulocyte Adhesion and Diapedesis						Other	canonical pathway				
Hbb-b1	"Adult (? major) globin, beta1, Beta 1 globin, Beta globin, Beta maj globin, haemoglobin, beta adult major chain, haemoglobin, ? adult major chain, HBB1, Hbbt1, Hbbt2, hemoglobin, beta adult major chain, hemoglobin, ? adult major chain, MommeD7, ? 1 globin, ? globin, ? maj globin, ? major globin"	"hemoglobin, beta adult major chain"				Extracellular Space	transporter			15129	
Hbb-b2	"Beta1 globin, beta2, beta min-globin, haemoglobin beta adult minor chain, haemoglobin, beta adult minor chain, haemoglobin ? adult minor chain, haemoglobin, ? adult minor chain, HBB2, Hbbt2, Hemoglobin beta adult minor chain, hemoglobin, beta adult minor chain, Hemoglobin ? adult minor chain, hemoglobin, ? adult minor chain, ? min-globin, ? minor globin"	"hemoglobin, beta adult minor chain"				Cytoplasm	enzyme			15130	
IFNA4	"Gm12597, Gm13280, If1ai1, If1ai10, If1ai11, If1ai12, If1ai14, If1ai2, If1ai3, If1ai4, If1ai5, If1ai6, If1ai7, If1ai8, If1ai9, Ifa1, Ifa2, Ifa5, Ifa6, Ifa7, Ifa8, Ifa9, IFN-4alpha, IFN-4?, Ifna1, IFN-[a]11, Ifna11, Ifna12, Ifna13, Ifna14, Ifna15, Ifna16, Ifna16l1, Ifna1l1, Ifna2, Ifna4l2, Ifna5, Ifna6, Ifna6T, Ifna7, Ifna8, IFNa8/6, Ifna9, Ifnaa, Ifnab, IFNalpha, IFN-alpha1, IFN alpha4, IFN-alpha4a, IFN-alpha-6, IFN-alpha-8, Ifnat6, Ifn-?, IFN-?-6, IFN-?-8, INFA4, interferon alpha 1, interferon alpha 11, interferon alpha 12, interferon alpha 13, interferon alpha 14, interferon alpha 15, interferon alpha 16, interferon, alpha 16-like 1, interferon alpha-1-like, interferon alpha 2, interferon alpha 4, interferon, alpha 4, interferon, alpha 4 like 2, interferon alpha 5, interferon, alpha 5, interferon alpha 6, interferon alpha 7, interferon alpha 9, interferon alpha B, interferon ? 1, interferon ? 11, interferon ? 12, interferon ? 13, interferon ? 14, interferon ? 15, interferon ? 16, interferon, ? 16-like 1, interferon ?-1-like, interferon ? 2, interferon ? 4, interferon, ? 4, interferon, ? 4 like 2, interferon ? 5, interferon, ? 5, interferon ? 6, interferon ? 7, interferon ? 9, interferon ? B, LOC100912314, LOC100912356, LOC384100, MuIFN-alpha-A, MuIFN-?-A, RGD1559679, RGD1564517, RGD1565225"	interferon alpha 4				Extracellular Space	cytokine		3441	15962|15964|15965|15968|15969|15970|15972|15974|230396|230398|242517|242519|404549	298205|298210|298213|500491|502961|100912314|100912356
IFNG	"If2f, IFG, IFI, IFN-2, IFNG2, IFN gamma, IFN-II, IFN type II, IFN-?, IMD69, INF-?, Interferon gamma, Interferon ?, type II INTERFERON, ?-ifn, ? interferon"	interferon gamma				Extracellular Space	cytokine	emapalumab	3458	15978	25712
IL18	"IGIF, IL1F4, IL-1g, IL-1 gamma, IL-1 ?, interferon-gamma-inducing factor, interferon-?-inducing factor, interleukin 18"	interleukin 18	IL18	5.07	1.22E-06	Extracellular Space	cytokine	camoteskimab	3606	16173	29197
IL1A	"IL1, IL1-ALPHA, IL-1F1, IL-1 ?, interleukin 1 alpha, interleukin-1 ?, Interleukin-A"	interleukin 1 alpha				Extracellular Space	cytokine	"anakinra, XB2001, rilonacept, MABp1, anakinra/methotrexate"	3552	16175	24493
IL1B	"IL-1, IL1-BETA, IL-1F2, IL-1 ?, interleukin 1 beta, Interleukin 1 ?, OAF, Osteoclast-Activating Factor, Pro-IL-1beta, Pro-IL-1?"	interleukin 1 beta				Extracellular Space	cytokine	"FL-101, anakinra, rilonacept, AK114, canakinumab, gevokizumab, canakinumab/INS, canakinumab/metformin, canakinumab/metformin/sulfonylurea, canakinumab/colchicine, canakinumab/methotrexate, anakinra/methotrexate, gallium nitrate"	3553	16176	24494
IL6	"BSF-2, CDF, FDGI, HGF, HSF, IFNB2, IFN-beta-2, IFN beta 2A, IFN-?-2, IFN ? 2A, ILg6, interleukin-6"	interleukin 6	IL6	4.52	2.70E-06	Extracellular Space	cytokine	"anti-IL-6 monoclonal antibody, tocilizumab, vamikibart, siltuximab, clazakizumab, interleukin-6 receptor inhibitor, ziltivekimab"	3569	16193	24498
Immune response of dendritic cells						Other	function				
IRF3	"C920001K05RIK, DRAFB, Ifn regulatory factor 3, IIAE7, interferon regulatory factor 3"	interferon regulatory factor 3				Nucleus	transcription regulator		3661	54131	292892
IRF7	"IFNRG7A, IMD39, interferon regulatory factor 7, IRF7A, IRF7C, IRF-7H"	interferon regulatory factor 7				Nucleus	transcription regulator		3665	54123	293624
Maturation of blood cells						Other	function				
MAVS	"CARDIF, D430028G21Rik, IPS-1, KIAA1271, MGC3260, mitochondrial antiviral signaling protein, VISA"	mitochondrial antiviral signaling protein				Cytoplasm	other		57506	228607	311430
