Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	Target Molecules	Mechanistic Network	Novel Genes
IL1B	2.864	cytokine	Activated	9.478	5.26E-52	"ABCB11,ACKR2,ADAM8,ADAMTS4,ADGRF1,AGTR1,ALOX15,ALPL,ANGPTL4,APOL1,ARC,ARG1,ASS1,ATF3,BAMBI,BCL2A1,BIRC3,C3,CCL1,CCL13,CCL17,CCL19,CCL2,CCL22,CCL28,CCL3,CCL4,CCL7,CCL8,CCR1,CCR4,CCR7,CD274,CHI3L1,COL10A1,CPB2,CSF2,CSF3,CTSS,CTSV,CXCL1,CXCL10,CXCL11,CXCL13,CXCL2,CXCL6,CXCL8,CXCL9,CXCR1,CXCR4,CYBB,CYP1A2,DCN,DDX60,DEFB4A,EBI3,EHF,ELF3,EPO,EPSTI1,ESR1,FGG,FLT4,FOSB,FOSL1,FURIN,G0S2,G6PD,GBP1,GCH1,GZMB,HAMP,HBEGF,HMOX1,HSD11B1,IBSP,IDO1,IFITM2,IFNG,IFNGR2,IKZF3,IL10,IL13,IL13RA2,IL19,IL1B,IL20,IL22,IL24,IL26,IL2RA,IL36A,IL36B,IL36G,IL37,IL4I1,IL6,IRF7,IRS1,ISG15,ISG20,KLK2,KRT5,LAMB1,LCN2,LCP1,LRG1,LTA,LTF,LY96,MAN1A1,MMP1,MMP10,MMP12,MMP13,MMP3,MMP7,MMP9,MX1,MYOCD,NLRP3,NOS1,NQO1,NR4A1,NR4A2,NR4A3,NTRK1,NUP210,OAS1,OAS2,OLFM4,OLR1,OSM,OSMR,PDCD1,PDX1,PI3,PIK3CD,PLA2G2A,PLA2G4E,PLA2G6,PLAT,PLAUR,PSMB8,PTGDS,PTGS2,RAC2,REN,RSAD2,S100A3,S100A8,S100A9,SAA1,SCUBE1,SELE,SERPINA1,SERPINA3,SERPINB3,SERPINE1,SLAMF1,SLC10A2,SLC25A25,SLC2A1,SMAD3,SNAP25,SNCA,SOCS3,SOX2,SPI1,SPP1,SRGN,SSTR2,TAPBP,THRSP,TIMP1,TNFAIP6,TNFRSF9,TNFSF15,TREM1,TYMP,UBA7,VCAN,VDR,WNT5A,XDH,ZC3H12A"	409 (12)	IL26
IFNG	2.058	cytokine	Activated	7.934	4.58E-47	"ADIPOQ,AGTR1,AIM2,ALOX15,ALPL,ANGPTL4,APOL1,AQP9,ARC,AREG,ARG1,ASCL1,ASS1,ATF3,BCL2A1,BIRC3,C3,C5AR1,CASP4,CCL1,CCL13,CCL17,CCL18,CCL19,CCL2,CCL22,CCL26,CCL28,CCL3,CCL4,CCL7,CCL8,CCR1,CCR3,CCR4,CCR7,CD274,CD5L,CDC20,CFH,CFP,CH25H,CHAC1,CHI3L2,CKAP5,CLEC7A,CSF2,CSF3,CTSC,CTSS,CTSV,CXCL1,CXCL10,CXCL11,CXCL13,CXCL2,CXCL6,CXCL8,CXCL9,CXCR4,CYBB,DCN,DCT,DDX60,DEFB103B,DEFB4A,DNASE1L3,EBI3,EHF,ELAVL2,EPO,FBLN1,FCER1G,FCGR1A,FCGR3A,FGG,FLG,FLT4,FOSB,FOSL1,FURIN,GAL3ST1,GBP1,GCH1,GIMAP4,GJB2,GNG2,GPR158,GRIA4,GSDMC,GZMB,HBEGF,HMOX1,IDO1,IFI27,IFI44,IFI6,IFITM2,IFNG,IFNGR2,IL10,IL12RB2,IL13,IL13RA2,IL18BP,IL19,IL1B,IL2RA,IL36G,IL4I1,IL6,IRF7,IRS1,ISG15,ISG20,ITGAX,ITGB2,JAK3,KMO,LAT2,LCN2,LCP2,LIX1,LPL,LTA,LY96,MERTK,MLANA,MMP1,MMP10,MMP12,MMP13,MMP3,MMP9,MNDA,MRAS,MSR1,MST1R,MTA3,MX1,MX2,MYCN,NCALD,NLRC5,NLRP3,NOS1,NQO1,NR4A3,NTRK1,OAS1,OAS2,OASL,OLR1,OSM,P2RY6,PDCD1,PDX1,PLA2G2A,PLA2G6,PLAUR,PLEK,PPP1R1B,PSMB8,PTGS2,PTN,PTPN6,RAC2,RB1,RGS1,RSAD2,RTP4,S100A7,S100A8,S100A9,SCUBE1,SELE,SELL,SELP,SERPINA1,SERPINE1,SLAMF1,SLC11A1,SLC2A1,SLC6A1,SMAD3,SNAP25,SOCS3,SP100,SPI1,SPP1,STK39,TAPBP,TIMP1,TNFAIP6,TNFRSF12A,TNFRSF14,TNFRSF9,TNFSF15,TREM1,TREML2,TRIM22,TYMP,TYR,TYROBP,UBA7,UBE2C,VDR,WNT5A"	463 (15)	
OSM	2.839	cytokine	Activated	8.087	4.02E-44	"ACKR2,ADAMTS4,AKR1B10,ANGPTL4,AQP9,ARC,ARG1,ARHGEF12,ATF3,BAMBI,BTC,CAMP,CASP4,CCL2,CDA,CDSN,CH25H,CHI3L1,CHI3L2,CSF2,CSF3,CST6,CTSV,CXCL1,CXCL10,CXCL13,CXCL2,CXCL6,CXCL8,DEFB103A,DEFB103B,DEFB4A,DNAJC3,ECM2,FLG,FOSB,FOSL1,FSHR,GAP43,GBP1,GOLGA2,HAMP,HBEGF,HMOX1,HSD11B1,HSPB3,HTR3A,IFNG,IL10,IL13,IL1B,IL6,IRF7,IRS1,ISG20,JAK3,KLK13,KRT16,KRT2,LCE2B,LCN2,LEPR,LGALS4,LORICRIN,LRG1,MMP1,MMP10,MMP13,MMP3,MMP9,MX1,NELL2,NMB,OAS1,OSM,OSMR,PGF,PI3,PLCB4,PSMB8,S100A12,S100A7,S100A7A,S100A8,S100A9,S100P,SAA1,SELE,SELP,SERPINA1,SERPINA3,SERPINB4,SERPINE1,SOCS3,SOST,SPP1,SPRR2C,SYNE1,TAL1,TAPBP,TCN1,TDO2,TIMP1,TNC,TNNC1,TOP2A,TRIM22,TULP3,TYMP,ULBP2,VDR,WNT5A,XDH"	438 (19)	
IL6	4.01	cytokine	Activated	6.661	5.36E-39	"ABCB11,ACKR2,ADAMTS4,ADGRE1,AIM2,ALDH1A1,ARC,AREG,ARG1,ASCL1,ATF3,BAMBI,BTC,C1QL1,C3,C5AR1,CCK,CCL2,CCL4,CCL7,CCNB1,CCR1,CCR3,CCR4,CCR7,CD274,CD48,CDC20,CES1,CFD,CFH,CFP,CHAT,CPB2,CSF2,CTSC,CXCL1,CXCL10,CXCL13,CXCL2,CXCL6,CXCL8,CXCL9,CXCR4,CYBB,CYP1A2,DCN,DEFB4A,EPO,EREG,FCGR1A,FGG,FOSL1,GAL,GAP43,GCH1,GREM1,GZMB,HAMP,HMOX1,HPGD,HPX,HRH3,HTR3A,ICOS,IDO1,IFNG,IL10,IL13,IL1B,IL20,IL22,IL2RG,IL6,IRS1,LCN2,LPL,LRG1,LTF,LY86,LY96,LYZ,MERTK,MFAP4,MMP1,MMP10,MMP12,MMP13,MMP3,MMP7,MMP9,MRAS,MSR1,MYCN,PDCD1,PGF,PLA2G2A,PLA2G4E,PLAT,PLEK,PSMB8,PTGS2,PTP4A3,PTPRC,RB1,RRM2,S100A7,S100A9,SAA1,SELE,SELP,SERPINA1,SERPINA3,SERPINA7,SERPINE1,SMAD3,SOCS3,SOX2,SPI1,SPP1,STEAP4,STK39,TAL1,THRSP,TIMP1,TNC,TNFRSF12A,TOP2A,UBE2C,WASF3,WNT5A"	461 (13)	
IL13	3.782	cytokine	Activated	3.619	3.81E-32	"ACKR3,ADAM8,ADAMDEC1,ADAMTS4,ADGRE3,ALOX15,ARG1,ATF3,C3,CCL17,CCL18,CCL2,CCL22,CCL26,CCL3,CCL4,CCL7,CD1B,CD48,CH25H,CHI3L1,CLEC7A,CTSC,CTSS,CXCL1,CXCL6,CXCL8,CXCR4,CYBB,DEFB103B,DEFB4A,ERBB4,FADS1,FCGR1A,FEZ1,FGG,FLG,FLT4,G0S2,G6PD,HBEGF,HMOX1,HRH1,HSD11B1,IDO1,IFNG,IFNGR2,IL10,IL13,IL13RA2,IL1B,IL6,ITGAX,KLK6,KRT16,KRT5,LILRB2,MATK,MERTK,MMP1,MMP10,MMP12,MMP13,MMP3,MMP7,MMP9,NFE2,NLRP3,PTGS2,PTH1R,S100A8,S100A9,SAMSN1,SELP,SERPINB3,SERPINB4,SERPINE1,SLC26A4,SLC26A6,SNCA,SOCS3,SOX2,SPP1,SPRR1B,TFEC,TIMP1,TYR,UGT3A1,WNT5A"	434 (14)	
CSF2	2.764	cytokine	Activated	6.75	2.52E-28	"ADAM8,ARG1,ATP6V0D2,BATF3,BIRC3,C3,C5AR1,CA4,CARD11,CCL17,CCL18,CCL2,CCL3,CCL4,CCNB1,CCR1,CCR7,CD1B,CD274,CD28,CD8A,CDC20,CFH,CLEC4C,CLEC7A,CSF2,CSF3,CTLA4,CTSC,CXCL1,CXCL2,CXCL8,CXCL9,CXCR4,CYBB,FCGR1A,FOSL1,GCH1,GK,HBEGF,HMOX1,ICOS,IDO1,IFNG,IL10,IL13,IL19,IL1B,IL24,IL2RA,IL36G,IL6,ITGAX,LCP1,LTA,LY9,LY96,MMP1,MMP9,NFE2,NLRP3,NR4A1,NR4A2,NR4A3,OLR1,OSM,OSMR,PLAGL2,PLAUR,PTGS2,RB1,RRM2,SLC2A1,SNTB1,SOCS3,SPI1,SPP1,TGFBI,TNFRSF4,TNFRSF9,TNFSF15,TOP2A,TREM1,UBE2C,UPP1,VDR"	431 (14)	
IL22	3.903	cytokine	Activated	5.316	5.32E-26	"C3,CAMP,CXCL1,CXCL13,CXCL2,CXCL6,CXCL8,DEFB103A,DEFB103B,DEFB4A,FLG,HBEGF,HMOX1,IFNG,IL10,IL13,IL19,IL1B,IL20,IL24,IL36G,IL6,KRT16,LCN2,LORICRIN,MMP1,MMP3,MMP9,PI3,PLA2G2F,PLA2G4E,S100A12,S100A7,S100A7A,S100A8,S100A9,SAA1,SERPINA3,SOCS3"	369 (18)	
EHF	2.158	transcription regulator	Activated	2.218	2.55E-21	"ANGPTL4,CSF2,EHF,EREG,FCER1A,HMOX1,IL13,IL1B,IL6,KLK5,KLK6,KLK8,MMP1,MMP3,PLAT,PLAUR,RHCG,S100A12,S100A7,S100A8,S100A9,SAA1,SCEL,SERPINA3,SERPINE1,SPRR1B,SPRR2A,SPRR2D,SPRR2E,SPRR2G,SPRR3,TIMP1,TNC"	208 (7)	
IL36G	2.205	cytokine	Activated	3.74	3.10E-21	"C3,CCL1,CCL17,CCL22,CCR7,CD274,CHAC1,COL11A2,CSF2,CSF3,CXCL1,CXCL10,CXCL11,CXCL2,CXCL8,CXCL9,CXCR4,DEFB4A,GALNT6,GPR15LG,HMOX1,IFNG,IL12RB2,IL13RA2,IL1B,IL1F10,IL37,IL6,IRF7,ISG15,ITGB2,JAK3,LTA,LY9,MMP9,PIK3CD,RSAD2,RTP4,SESN3,SLC11A1,TNFSF15,WNT5A,ZC3H12A"	316 (18)	
TREM1	3.149	transmembrane receptor	Activated	2.578	5.07E-18	"ACKR3,AREG,ATF3,CCL17,CCL18,CCL2,CCL3,CCL7,CCR7,CD274,CSF2,CXCL1,CXCL2,CXCL8,CXCR4,DEFB4A,EBI3,FOSL1,GREM1,HBEGF,IDO1,IFNG,IL10,IL1B,IL6,ISG15,ITGAX,LPL,LY9,MMP1,MMP10,NR4A2,OASL,PTGS2,RGS1,SPINK1,SPP1,SYK,TNFSF15,TNIP3,WNT5A"	426 (16)	
