Gene_Symbol	log2FC	p-value
LOC610649	3.967755	0.002279
TPD52L3	3.6246	3.65E-04
DHX58	3.46573	1.64E-04
LOC486384	3.330342	0.014855
SLC39A12	3.102488	0.012028
IL26	3.10246	0.011134
SSX5	3.06564	0.0027
SIRPB2	2.94973	0.012876
NFAM1	2.93316	0.005192
LOC611632	2.854565	0.048341
SLC10A2	2.774607	0.019631
ACOXL	2.746006	0.011134
LOC485295	2.718594	0.004425
SYK	2.609797	0.006077
LOC477853	2.599968	0.037678
LOC609981	2.587514	0.014855
SEC31B	2.545841	0.00135
RTP2	2.538153	0.014855
MTA3	2.473156	0.008266
CCNJL	2.430794	0.012876
NUPL1	2.413144	0.020186
DNAH2	2.382158	0.002279
LOC487998	2.365656	0.03332
EDEM1	2.361875	0.011134
TDO2	2.356015	0.039899
NTRK3	2.347954	0.029295
SCAF1	2.321001	9.41E-04
ANKAR	2.313394	0.03332
VSTM2A	2.291405	0.002279
LOC484879	2.289226	0.048341
ATP6V0D2	2.28376	0.025696
LOC612358	2.280103	0.006077
CAPZA3	2.273763	0.019631
LOC485516	2.269913	0.019631
FES	2.259979	0.007096
LOC480432	2.256149	0.025696
SERPINB4	2.25128	0.022486
PRPH2	2.234945	0.004425
Bak1	2.228478	0.017097
IL2RG	2.224701	0.001919
GPR98	2.22376	0.042802
LOC475066	2.21745	0.019631
GOLGA2	2.217144	0.037809
NETO1	2.216933	0.042802
LOC491323	2.213568	0.007096
SP100	2.209544	0.022486
SRRM1	2.204764	0.042802
MERTK	2.202638	0.042802
DPY19L2	2.199086	0.025696
LOC485325 /// LOC610911	2.198668	0.022486
GZMK	2.197443	0.019631
DAB2IP	2.19011	0.048341
LOC492268	2.188221	0.017097
RTF1	2.179306	0.048341
KMO	2.178031	0.003762
GNAZ	2.174538	0.037809
PCSK7	2.165532	0.029295
HPN	2.164632	0.012876
IKZF3	2.159409	0.017097
INHA	2.14857	0.037809
QRICH2	2.141547	0.025696
LOC474642	2.129003	0.022486
DOLPP1	2.114915	0.022486
BMP8B	2.110951	0.011134
MAST4	2.107805	0.003762
NXNL1	2.104822	0.048341
LOC485822	2.099864	0.006077
SLC26A6	2.085234	0.022486
CHRNA6	2.080803	0.042802
LOC480675	2.076591	0.048341
APBB3	2.074519	0.011134
FSHR	2.057851	0.022486
NOS1	2.056276	0.037809
EXOC6	2.055156	0.029295
CRAMP1L	2.054043	0.008266
ASTN1	2.050221	0.011134
WIZ	2.048774	0.025696
TCOF1	2.044218	0.019631
LOC611352	2.036496	0.048341
LOC612795	2.033164	0.022486
MYOCD	2.018837	0.009605
AMT /// LOC485342	2.015065	0.001919
EPO	2.012427	0.03332
SLC38A5	2.012095	0.03332
NCALD	2.00397	0.042802
LOC482236	2.006556	0.03332
LOC480186	2.010561	0.002279
CA1	2.015276	0.048341
ATP6V1B1	2.019364	0.048341
NXF3	2.02263	0.029295
ICA1L	2.035724	0.037809
LOC611915	2.039041	0.017097
PTAR1	2.048478	0.029295
LHFPL1	2.052496	0.009605
SLC4A5	2.059182	0.014855
SLC30A2	2.059356	0.02776
UGT2B31	2.076058	0.014855
POLD3	2.079938	0.042802
GSTO2	2.101208	0.037809
TUT1	2.108763	0.011134
PTPN6	2.109045	0.037809
LOC477792	2.110517	0.03332
TRIM65	2.158492	0.007096
C1QL1	2.172599	0.037809
LOC485316	2.18361	0.048341
LOC490554	2.184735	0.019631
SCN2A	2.20048	0.025696
PIN4	2.208569	0.03332
LOC491434	2.217916	0.011134
LMOD3	2.236104	0.009605
VWA3B	2.241051	0.042766
LOC486404	2.248014	0.009605
cOR6M4	2.255717	0.03332
GNAT2	2.26041	0.017097
MYOT	2.264664	0.022486
LOC608729	2.309779	0.034408
MLN	2.313089	0.03332
LOC476380	2.317306	0.007096
PACSIN1	2.325568	0.017097
RSPO3	2.334694	0.001128
TSNAX	2.335192	0.017097
IL20	2.350002	0.007096
IQCF2	2.3558	0.019631
WASF3	2.360756	0.017097
LOC486692 /// LOC609192 /// LOC611332	2.368691	0.022486
SLC25A23	2.391012	0.025696
KLHL1	2.403312	7.82E-04
SLC22A16	2.406039	0.011134
TEKT5	2.422362	0.012876
FMR1NB	2.485068	0.017097
CKAP5	2.48708	0.004425
LOC479089	2.492365	0.037809
SORCS1	2.542903	0.008266
CCDC147	2.58351	0.005192
TMEM16D	2.589059	0.003762
CRYAA	2.593707	0.009605
MAB21L2	2.642004	0.008266
MSRA	2.66838	0.009605
LOC608177	2.668629	0.029295
LOC476149	2.677367	0.011134
CASQ1	2.730877	0.004425
ESR1	2.774455	0.004425
LOC491958	2.783546	0.006077
MGAT4C	2.789646	0.022394
ZCCHC9	2.791989	0.03332
STK31	2.821455	0.006077
KRT37	2.962704	0.029295
NEXN	2.984946	0.017097
ACSM3	2.997802	0.002587
LOC609360	3.185518	0.006042
LOC479268	3.208869	0.017634
LOC486036	3.238054	0.005184
GALNT8	3.42179	3.00E-04
SCN3A	3.644425	0.008595
MSRA	3.797434	7.50E-04
LOC491504	3.854861	7.82E-04
SKAP2	3.927443	0.001106
IL6	4.116434	0.002279
EML5	4.164153	0.006077
