Gene_Symbol	log2FC	p-value
KRT6C	5.750519	4.93E-85
MMP1	4.629204	5.26E-31
KRT16	4.456681	1.41E-78
C10orf99	4.402739	########
AKR1B10	4.324688	6.78E-94
S100A9	4.284063	7.43E-67
LCE3D	4.27327	8.89E-85
LCE3A	4.204277	2.65E-55
S100A7	4.188557	7.06E-75
AKR1B15	4.102868	2.79E-60
EGR4	3.964239	5.26E-39
NR4A3	3.949411	2.31E-52
EPGN	3.910063	7.81E-49
IL6	3.903409	1.53E-28
IGFL1	3.879128	6.26E-44
APOBEC3A	3.812492	6.88E-28
FOSL1	3.773803	1.55E-56
SPRR2G	3.772331	1.28E-77
S100A7A	3.770772	2.29E-79
LCE3E	3.760817	8.92E-58
S100A8	3.756796	3.10E-46
IL20	3.704678	3.58E-38
CXCL8	3.69667	9.17E-35
HRNR	3.645804	1.99E-29
SPRR2B	3.549381	5.67E-47
PI3	3.533275	1.89E-50
UGT1A7	3.504684	8.77E-47
HEPHL1	3.462615	7.16E-56
MMP10	3.358358	2.58E-12
IL24	3.305655	1.02E-15
KRT6A	3.234307	1.03E-45
SPRR2A	3.228903	7.49E-36
SH2D5	3.227819	6.17E-25
CXCL2	3.158035	3.35E-37
MMP3	3.077348	1.12E-35
SERPINB4	3.007274	4.14E-33
OASL	2.988768	2.15E-52
S100A12	2.973173	2.66E-28
TCN1	2.966321	1.06E-35
AREG	2.950272	4.22E-37
SPRR2F	2.944415	2.88E-38
MMP12	2.938362	6.47E-19
EDN2	2.921572	4.84E-30
ARC	2.910318	1.66E-35
LCE3C	2.90262	1.14E-20
CCL18	2.898499	8.51E-36
PRSS53	2.871708	7.89E-49
IL13	2.811681	8.47E-21
ULBP1	2.799018	4.62E-22
FOSB	2.793253	6.87E-28
RGS1	2.757916	7.10E-34
SPRR2D	2.754703	2.54E-42
DEFB4A	2.697092	4.14E-45
HRH3	2.664667	5.77E-21
IFI27	2.653244	3.29E-65
SOCS3	2.645311	2.48E-47
TMIGD3	2.623084	4.86E-29
NR4A1	2.618099	3.22E-30
CSF3	2.614228	8.80E-14
PLA2G2A	2.597968	4.41E-27
FPR1	2.575386	4.63E-28
CXCL10	2.574019	3.98E-21
ATF3	2.571103	6.12E-30
IL13RA2	2.565197	8.50E-18
ARL14	2.552527	4.63E-15
OLFM4	2.508385	4.00E-08
CD177	2.506517	2.06E-17
SPP1	2.47585	0.000167
OAS2	2.445478	2.84E-48
OSM	2.43992	5.45E-15
CXCL1	2.433331	2.79E-23
SELE	2.406392	2.84E-39
CXCR1	2.401266	7.12E-27
IL36A	2.393093	9.43E-17
CHAC1	2.391577	4.05E-28
IL36G	2.388352	7.19E-51
SLC25A25	2.386143	8.80E-48
PTGS2	2.375328	3.64E-30
LINC01605	2.370883	2.03E-49
KRT16P2	2.365734	2.99E-19
KRT16P1	2.362507	6.06E-19
SERPINB3	2.360592	1.33E-32
ULBP2	2.353395	1.74E-26
NR4A2	2.34413	3.56E-28
ADAMDEC1	2.330493	7.15E-29
SERPINE1	2.323094	1.09E-37
KRT16P3	2.315809	8.98E-18
GZMB	2.291024	4.60E-22
SPRR3	2.278908	1.32E-10
C6orf223	2.265927	1.66E-11
ADAMTS4	2.250537	1.60E-32
GPRIN1	2.236553	1.93E-50
KRT6B	2.224911	7.38E-15
KLHDC7B	2.213525	2.46E-18
SPRR1B	2.205312	7.46E-36
RSAD2	2.196604	1.45E-27
NTRK1	2.194463	8.08E-19
COL6A6	2.191755	3.19E-25
CLC	2.18618	1.34E-10
LGALS9C	2.150225	2.95E-16
LTF	2.138566	2.64E-15
IL22	2.131982	7.06E-13
MX1	2.12545	2.25E-41
HTR3A	2.116106	7.20E-20
IFI6	2.114313	4.70E-29
ISG15	2.108634	2.07E-29
TREM1	2.087208	1.35E-11
INA	2.079022	2.00E-29
TNC	2.043482	9.31E-50
UPP1	2.033096	6.12E-36
HAS3	2.026694	2.04E-30
CCL17	2.021063	6.73E-13
SPRR2C	2.020955	2.68E-15
KLK9	2.016608	1.55E-50
LINC01272	2.016246	2.13E-29
C17orf96	2.009106	2.22E-29
RHCG	2.005375	3.85E-18
GALNT6	2.004355	6.23E-61
PRSS27	2.001577	6.53E-41
MTHFD2P1	-2.00522	5.11E-10
LINC01020	-2.0111	5.18E-07
BTC	-2.07024	2.16E-24
CDH12	-2.07413	2.02E-28
SPINK1	-2.08875	1.17E-15
LGALS16	-2.11529	3.46E-08
MIR6510	-2.13677	1.62E-14
KRT77	-2.14182	1.67E-35
TNNC1	-2.17714	6.48E-35
IL12A-AS1	-2.20824	1.55E-10
UGT3A2	-2.22475	5.25E-15
LOC401134	-2.24427	2.02E-11
CHRM4	-2.25336	6.69E-18
MSMB	-2.31217	2.19E-18
LOC157273	-2.3875	7.75E-12
ACOT1	-2.39177	1.15E-23
SP8	-2.56897	2.38E-23
WIF1	-3.8986	1.80E-35
