Gene_Symbol	log2FC	p-value
S100A7A	3.91	0.0227
SERPINB11	3.35	0.011
KRT16P3	3.23	0.0028
S100A7	3.2	0.0159
HEPHL1	3	0.003
KRT6C	2.93	0.002
AKR1B15	2.93	0.0011
LCE3D	2.88	0.0123
NA	2.83	0.0141
LINC01206	2.78	0.0069
LINC01206	2.78	0.0069
LCE3E	2.76	0.0133
KRT16P2	2.69	0.0045
PI3	2.69	0.0475
ABCG4	2.67	0.0014
SPRR1A	2.6	0.0194
GPR110	2.49	0.0031
GPR110	2.49	0.0031
GPR110	2.49	0.0031
GPR110	2.49	0.0031
SERPINA1	2.43	0.007
SERPINA1	2.43	0.007
SERPINA1	2.43	0.007
TNPO1P2	2.43	0.0027
SPRR2A	2.35	0.0202
SPRR2A	2.35	0.0202
SPRR2D	2.32	0.0159
KRT6B	2.32	0.0034
SPRR1B	2.32	0.0102
TNPO1P3	2.23	0.0021
	2.22	0.0068
SLC5A5	2.2	0.0114
LGALS9C	2.19	0.0068
SPRR2B	2.17	0.0241
SPRR2F	2.16	0.0178
SLC39A3	2.14	0.0003
SLC39A3	2.14	0.0003
SLC39A3	2.14	0.0003
	2.13	0.0011
KRT16P6	2.11	0.0191
	2.07	0.0049
LGALS9B	2.07	0.0064
	2.07	0.0246
CD177	2.06	0.0397
GPRIN1	2.06	0.0015
SOX2	2.01	0.0373
SOX2	2.01	0.0373
SOX2	2.01	0.0373
SOX2	2.01	0.0373
ZIC4	-2.01	0.0011
ZIC4	-2.01	0.0011
BMP3	-2.02	0.0022
LGR5	-2.02	0.0037
ACTN2	-2.04	0.0017
ACTN2	-2.04	0.0017
ACTN2	-2.04	0.0017
ACTN2	-2.04	0.0017
BRAFP1	-2.04	0.0014
	-2.06	0.0031
THRSP	-2.06	0.031
ADIPOQ-AS1	-2.08	0.0109
NPY5R	-2.23	0.0014
RANBP3L	-2.28	0.0032
UGT3A2	-2.89	0.0133
BTC	-2.94	0.0016
