Gene_Symbol	log2FC	p-value
LOC482436	14.40974	0.009605
COL29A1	12.07188	0.001611
UPP1	11.70015	1.64E-04
LOC611632	11.63978	9.41E-04
IL8	10.17983	0.001919
S100A9	10.1555	4.43E-04
LOC478287	9.941882	3.65E-04
IL8	8.90208	0.003191
ISG15	8.793321	2.92E-05
LOC612044	7.683865	0.002279
SERPINB4	7.553822	2.46E-04
LRG1	7.157471	0.00135
SLC26A4	6.960997	0.003088
LOC478287	6.683578	2.46E-04
KRT37	6.55755	0.003191
LOC478287	6.232193	9.41E-04
C5AR1	5.682921	2.01E-04
ZC3H12A	5.602071	0.005192
IL8	5.270975	0.025696
LILRB2	5.232676	6.49E-04
IFITM2	5.138019	0.019631
TCN1	4.843914	0.029295
TMPRSS3	4.756259	0.003762
AOH2	4.720895	0.001128
S100A8	4.712835	6.49E-04
IL26	4.691217	0.006077
CHI3L1	4.634703	0.004425
HPX	4.548033	9.41E-04
TCN1	4.514368	0.042802
CCR1	4.487162	8.74E-05
SAA1	4.283744	0.001611
SERPINE1	4.262659	6.49E-04
PILRA	4.205721	1.08E-04
TREM1	4.200947	2.46E-04
SYK	4.168633	4.56E-05
KRT2	4.142434	0.006077
PMP2	4.068821	0.007096
CHI3L1	4.055177	0.001919
ATP6V0D2	4.007804	2.46E-04
HHIP	3.97117	0.0027
CRISP3	3.919636	0.029295
GPR98	3.901449	0.003191
AVIL	3.856251	5.37E-04
UPP1	3.83211	5.68E-05
LYG2	3.768848	0.012876
INDO	3.754688	0.0027
KRT33B	3.744402	0.048341
SERPINE1	3.738047	0.003762
LOC608422	3.714901	0.006077
BIRC3	3.710957	0.018127
SAA1	3.651333	0.0027
EDEM1	3.599983	4.43E-04
S100P	3.586616	1.64E-04
HS3ST5	3.579751	1.85E-05
BCL2A1	3.57815	2.01E-04
UPP1	3.571841	1.64E-04
PLEK	3.55735	9.41E-04
CFP	3.547921	0.0027
CCL8	3.540267	0.001128
CASP4	3.52842	7.06E-05
LOC489675	3.518839	0.017097
KRT85	3.51402	0.048341
REV1	3.508039	0.012876
SELL	3.507264	0.001919
LOC610007	3.505152	0.001919
ISG20	3.49207	2.01E-04
AOH2	3.486614	0.003762
PADI3	3.484129	0.014855
S100A3	3.480868	0.022486
INDO	3.468244	0.003191
ANGPTL7	3.464207	0.012876
LYG2	3.443819	0.03332
TREX2	3.437743	0.005192
CDA	3.42506	7.82E-04
LOC612534	3.408698	0.048341
CDA	3.376586	1.08E-04
LOC486484	3.375385	0.042447
LOC487017	3.37198	0.00135
DNAH11	3.362323	0.03332
LOC608072	3.358334	0.017097
LIX1	3.343906	0.025696
MLZE	3.334517	0.003191
CXCL10	3.331182	0.048341
SELP	3.328929	0.037809
MYOC	3.327196	0.001919
GPR65	3.314252	0.001919
NPR3	3.280277	0.01961
COL29A1	3.276098	0.011134
TIMP1	3.268624	8.74E-05
GZMB	3.255804	0.037809
MGAT4C	3.251373	0.028744
MSR1	3.250549	3.66E-05
LOC491434	3.244356	7.06E-05
ARSH	3.235912	0.037809
KRT28	3.222465	0.012876
KRT26	3.191907	0.019631
FBXO16	3.185849	0.008266
TPD52L3	3.183101	0.001128
TMEFF1	3.180973	0.011134
RAC2	3.172009	1.64E-04
ESR1	3.170916	0.006077
LOC483406	3.163197	0.004425
LOC487854	3.159755	0.007096
NLRC5	3.156566	4.43E-04
BIRC3	3.142633	0.001919
BCMO1	3.13492	0.003191
IGSF9	3.127359	0.001128
LYG1	3.11901	0.008266
CD5L	3.118965	0.037809
LRRN1	3.109733	0.008266
HMOX1	3.080353	0.00135
HOXC13	3.075437	4.43E-04
LOC485452	3.073684	0.008266
GPRC5D	3.070786	0.03332
TNFRSF4	3.068148	0.017097
SLC11A1	3.066381	2.01E-04
SLC22A16	3.04467	8.74E-05
KRT82	3.041927	0.03332
WNT5B	3.037951	0.002279
TGFBI	3.037487	5.37E-04
GPSM3	3.034257	0.001611
KRT32	3.012563	0.029295
VWA3B	3.010007	0.019631
LOC484384	2.993691	9.41E-04
SELL	2.96655	0.0027
CNBD1	2.962626	0.0027
CCL2	2.955049	0.003191
LEPR	2.944398	0.022486
CLEC4G	2.942801	0.001611
OAS1	2.94249	4.56E-05
SLC16A14	2.940474	0.0027
LOC608057	2.937088	6.49E-04
DDX60	2.912722	0.003191
MLANA	2.912717	0.007096
PLN	2.90839	9.41E-04
MYOT	2.908173	6.49E-04
PLP1	2.897901	0.029295
CTRL	2.8849	0.008266
OAS1	2.878406	5.68E-05
LOC475367	2.8688	0.003191
Bak1	2.865671	7.82E-04
KMO	2.857627	0.00135
SAMSN1	2.850613	4.43E-04
ITGB6	2.849274	0.023804
cOR8D6	2.847425	0.01961
TNFRSF14	2.845773	0.011134
CCDC70	2.843648	0.019631
CD274	2.841254	0.008266
