Gene_Symbol	log2FC	p-value
IL6	13.72339	0.001474
LOC482436	11.404	0.008775
IL8	8.244961	0.002366
LOC612044	6.6864	0.002977
IL8	6.122124	0.010747
ISG15	5.844051	0.008775
IL8	5.734618	0.013104
UPP1	5.705632	0.001474
COL29A1	5.704793	0.019223
LILRB2	5.454452	0.004649
CCK	5.369899	0.001474
LOC478287	4.957553	0.001871
KRT31	4.94453	0.005772
S100A9	4.868624	0.007132
SLC26A4	4.859256	0.019223
LRG1	4.824422	0.002366
DNAH11	4.789749	0.004649
ACTC1	4.377535	0.004649
MMP1	4.340656	0.015906
KALRN	4.251117	0.004649
CCL2	4.226186	0.001474
CYP2A13 /// CYP2A25	4.183677	0.003729
HPX	4.153803	0.001474
LOC478287	4.123613	0.002977
LOC611632	4.077603	0.013104
LOC478287	4.04556	0.004649
AOH2	3.981066	0.004649
CHI3L1	3.907468	0.007132
cOR8D6	3.827707	0.008775
KRT72	3.798142	0.003729
CCK	3.788284	0.001474
IL1B	3.759116	0.027708
LOC486484	3.721552	0.005772
LOC607729	3.700105	0.015906
NUP210	3.699364	0.033047
LOC479268	3.695329	0.039243
KRT72	3.68968	0.003729
ANKS1B	3.681731	0.013104
MYOC	3.624306	0.001474
SERPINE1	3.600727	0.001871
SELP	3.586837	0.013104
TCN1	3.570463	0.033047
LOC607855	3.487097	0.008775
LRRN1	3.484423	0.002366
NPR3	3.446475	0.001474
LOC487854	3.422459	0.010747
HSD17B13	3.403052	0.007132
ZC3H12A	3.39442	0.02313
SAA1 /// SAA2	3.389914	0.002977
cOR6M4	3.37729	0.005772
LOC475690	3.372689	0.003729
SELE	3.362424	0.003729
TREX2	3.362167	0.003729
CCL8	3.358701	0.013104
LOC488882	3.358432	0.007132
SERPINB4	3.355346	0.010747
CCR1	3.332407	0.001871
DNAJC3	3.327301	0.019223
S100A8	3.309787	0.005772
SAA1	3.30719	0.002977
TCHH	3.264244	0.005772
LOC606828	3.242992	0.001474
IL20	3.240007	0.005772
SAA1	3.199866	0.003729
LOC490039	3.184818	0.046399
HHIP	3.182471	0.007132
LGI1	3.168798	0.004649
LOC481649	3.155216	0.027708
TREM1	3.148588	0.007132
LOC482058	3.128296	0.005772
CHI3L1	3.101768	0.004649
LOC608829	3.07909	0.025329
HS3ST5	3.075754	0.001474
VDR	3.063654	0.004649
ARG1	3.062779	0.013104
MSRA	3.048505	0.02313
LOC488149	3.048333	0.013104
KRT31	3.048244	0.004649
KRT33B	3.02228	0.008775
KRT85	3.013122	0.007132
C5AR1	3.010996	0.005772
LYG2	2.993802	0.007132
LOC609334	2.975362	0.005772
LOC607627	2.968278	0.046399
CCR3	2.966158	0.001474
LOC610007	2.943423	0.010747
CTNND2	2.942797	0.013104
TIMP1	2.940918	0.001474
TMPRSS3	2.937591	0.005772
WNT5B	2.93752	0.002977
KRT85	2.93697	0.007132
PLP1	2.935688	0.019223
LILRB3	2.934781	0.002977
CCL8	2.930602	0.005772
PADI3	2.926704	0.004649
AFM	2.916595	0.019223
KRT28	2.914106	0.001871
BCL2L14	2.911632	0.019223
S100A3	2.911059	0.007132
ATP6V0D2	2.910367	0.001474
MAGEB1	2.899345	0.033047
SELL	2.896755	0.003729
LOC474570	2.893567	0.001871
SERPINA3	2.884558	0.015906
HAP1	2.883384	0.005772
KRT26	2.882732	0.001871
LOC490554	2.881462	0.019223
BFSP2	2.880799	0.007132
LOC484866	2.864428	0.013104
IL1B	2.864188	0.004649
UPP1	2.864174	0.001474
ROR2	2.854372	0.010747
PMP2	2.850124	0.008775
BCMO1	2.847891	0.005772
AOH2	2.841033	0.008775
UPP1	2.831492	0.001474
SEC31B	2.824874	0.004649
INHA	2.824811	0.013104
NETO1	2.823891	0.013104
SERPINE1	2.820535	0.013104
MMP1	2.819397	0.046399
KCNJ5	2.80698	0.013104
IRS1	2.802746	0.013104
LOC608422	2.792042	0.002977
RH30	2.783436	0.010747
GLRA3	2.764039	0.004649
ANGPTL7	2.753135	0.002977
MAT1A	2.747693	0.010747
ISG20	2.733481	0.013104
LOC612534	2.717922	0.005772
WDR37	2.713489	0.001871
